City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Barrow,US,71.2906,-156.7887,39.22,91,90,11.5,overcast clouds
70,Cabo San Lucas,MX,22.8909,-109.9124,97.52,66,40,11.5,scattered clouds
71,Klaksvik,FO,62.2266,-6.589,50.92,93,92,5.7,overcast clouds
72,Mataura,NZ,-46.1927,168.8643,35.47,99,91,3.2,overcast clouds
73,Fortuna,US,40.5982,-124.1573,65.98,87,90,9.22,overcast clouds
74,Qaanaaq,GL,77.484,-69.3632,39.96,67,23,3.0,few clouds
75,Atambua,ID,-9.1061,124.8925,67.59,85,15,4.03,few clouds
76,Maragogi,BR,-9.0122,-35.2225,74.07,84,92,10.58,overcast clouds
77,Pisco,PE,-13.7,-76.2167,64.45,72,90,11.5,overcast clouds
78,Puerto Escondido,MX,15.85,-97.0667,88.63,58,40,12.66,scattered clouds
79,Nipawin,CA,53.3668,-104.0009,71.64,53,40,16.11,scattered clouds
80,Port Lincoln,AU,-34.7333,135.8667,54.16,56,48,13.91,scattered clouds
81,Kalmunai,LK,7.4167,81.8167,79.61,82,99,4.38,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,57.88,90,75,5.99,heavy intensity rain
83,College,US,64.8569,-147.8028,61.66,80,90,5.75,overcast clouds
84,Sault Sainte Marie,CA,46.5168,-84.3333,75.49,85,75,9.22,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,59.09,81,100,8.46,overcast clouds
86,Butaritari,KI,3.0707,172.7902,82.99,64,42,10.6,scattered clouds
87,Havoysund,NO,70.9963,24.6622,70.03,60,52,10.71,broken clouds
88,Palmer,US,42.1584,-72.3287,86.4,51,75,5.75,broken clouds
89,Kingaroy,AU,-26.5333,151.8333,51.84,100,90,6.91,overcast clouds
90,Beringovskiy,RU,63.05,179.3167,43.56,88,100,20.15,light rain
91,Aklavik,CA,68.2191,-135.0107,53.6,66,40,3.44,scattered clouds
92,Castro,BR,-24.7911,-50.0119,63.36,64,99,3.8,overcast clouds
93,Moerai,PF,-22.4333,-151.3333,72.81,75,7,8.16,clear sky
94,Kirkuk,IQ,35.4681,44.3922,95.49,14,0,7.23,clear sky
95,Srednekolymsk,RU,67.45,153.6833,58.91,53,16,2.66,few clouds
96,Coquimbo,CL,-29.9533,-71.3436,58.73,67,40,10.36,scattered clouds
97,Huilong,CN,31.8111,121.655,77.99,81,96,0.58,overcast clouds
98,Aripuana,BR,-9.1667,-60.6333,98.26,21,22,1.97,few clouds
99,Koumac,NC,-20.5667,164.2833,64.78,72,40,12.86,scattered clouds
100,Emerald,AU,-23.5333,148.1667,48.34,53,0,5.75,clear sky
101,Yulara,AU,-25.2406,130.9889,39.04,48,0,6.91,clear sky
102,Lashio,MM,22.9333,97.75,69.3,100,100,0.4,overcast clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,50.02,71,0,6.91,light rain
104,Tilichiki,RU,60.4667,166.1,51.48,63,89,9.91,overcast clouds
105,Cagliari,IT,39.245,9.0912,82.49,77,0,12.66,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,20,23.02,few clouds
107,Lampa,CL,-33.2833,-70.9,52.63,58,75,10.36,moderate rain
108,Erzin,TR,36.9559,36.2,83.12,71,1,0.76,clear sky
109,Cherskiy,RU,68.75,161.3,54.63,42,19,1.12,few clouds
110,Shingu,JP,33.7333,135.9833,82.9,93,100,21.47,overcast clouds
111,Lavrentiya,RU,65.5833,-171.0,45.23,76,82,13.22,broken clouds
112,Longyearbyen,SJ,78.2186,15.6401,44.44,81,20,14.97,few clouds
113,Lamar,US,33.6668,-95.5836,93.52,56,75,14.97,broken clouds
114,Constitucion,CL,-35.3333,-72.4167,53.06,57,100,3.85,overcast clouds
115,Kolosovka,RU,56.4678,73.611,60.37,94,24,7.31,few clouds
116,Rorvik,NO,64.8621,11.2373,64.51,72,40,6.91,scattered clouds
117,Xuddur,SO,4.1213,43.8894,74.23,65,77,19.46,broken clouds
118,Opunake,NZ,-39.4556,173.8583,43.34,62,100,34.78,overcast clouds
119,Haines Junction,CA,60.7522,-137.5108,62.55,59,100,1.14,overcast clouds
120,Port Hardy,CA,50.6996,-127.4199,62.78,77,90,10.36,overcast clouds
121,Payo,ID,-3.7508,103.6372,73.8,86,45,2.19,scattered clouds
122,Katsuura,JP,35.1333,140.3,84.31,88,100,23.13,overcast clouds
123,Ambilobe,MG,-13.2,49.05,70.75,84,100,2.28,overcast clouds
124,Tuatapere,NZ,-46.1333,167.6833,35.82,84,100,5.64,overcast clouds
125,Oktyabrskiy,RU,54.4815,53.471,59.41,50,61,4.23,broken clouds
126,Kyra,RU,49.5776,111.9753,51.85,87,100,5.77,overcast clouds
127,Canico,PT,32.6333,-16.85,73.0,85,75,1.01,broken clouds
128,Victoria,HK,22.2855,114.1577,85.32,90,100,1.99,moderate rain
129,Kudahuvadhoo,MV,2.6708,72.8944,82.89,73,100,10.36,overcast clouds
130,Georgetown,MY,5.4112,100.3354,81.9,83,40,0.0,scattered clouds
131,Tessalit,ML,20.1986,1.0114,87.84,34,97,17.36,overcast clouds
132,Shatsk,RU,54.0258,41.7119,74.8,47,100,5.79,light rain
133,Olinda,BR,-8.0089,-34.8553,78.53,78,75,13.8,broken clouds
134,Antofagasta,CL,-23.65,-70.4,60.08,67,15,13.38,few clouds
135,Vila,PT,42.0304,-8.1588,60.69,69,100,2.82,overcast clouds
136,Tonantins,BR,-2.8731,-67.8022,83.25,67,99,2.44,overcast clouds
137,Gladstone,AU,-23.85,151.25,55.33,76,75,5.75,broken clouds
138,Yar-Sale,RU,66.8333,70.8333,54.32,60,99,17.0,overcast clouds
139,Grindavik,IS,63.8424,-22.4338,64.35,77,0,14.97,clear sky
140,Kirakira,SB,-10.4544,161.9205,77.52,84,54,6.29,broken clouds
141,Poum,NC,-20.2333,164.0167,68.54,66,93,20.2,overcast clouds
142,Batagay-Alyta,RU,67.8006,130.4114,59.59,43,18,1.1,few clouds
143,High Level,CA,58.5169,-117.136,55.51,71,90,2.3,overcast clouds
144,Kapaa,US,22.0752,-159.319,82.38,74,75,1.99,moderate rain
145,Salym,RU,60.0625,71.4789,67.73,77,100,3.44,overcast clouds
146,Bemidji,US,47.4736,-94.8803,81.14,57,75,4.61,broken clouds
147,East London,ZA,-33.0153,27.9116,69.01,39,54,17.67,broken clouds
148,Necochea,AR,-38.5473,-58.7368,52.03,56,100,6.87,overcast clouds
149,Mareeba,AU,-17.0,145.4333,65.12,93,23,2.66,few clouds
150,Zhuhai,CN,22.2769,113.5678,85.05,94,40,13.8,light intensity shower rain
151,Ribeira Grande,PT,38.5167,-28.7,75.6,73,75,16.11,broken clouds
152,Kalaleh,IR,37.3807,55.4916,88.45,36,0,4.63,clear sky
153,Vila Velha,BR,-20.3297,-40.2925,73.35,73,40,6.91,scattered clouds
154,Mwaro,BI,-3.5,29.6667,59.29,69,47,3.42,scattered clouds
155,Bonthe,SL,7.5264,-12.505,78.19,75,100,10.0,overcast clouds
156,Prieska,ZA,-29.6641,22.7474,57.63,26,22,9.98,few clouds
157,Cidreira,BR,-30.1811,-50.2056,63.39,83,2,8.63,clear sky
158,Gull Lake,CA,50.1001,-108.4847,64.76,46,100,6.67,overcast clouds
159,Alofi,NU,-19.0595,-169.9187,75.09,83,100,9.22,overcast clouds
160,Oltedal,NO,58.831,6.0466,60.55,90,68,6.55,broken clouds
161,Chuy,UY,-33.6971,-53.4616,65.41,81,100,4.05,overcast clouds
162,Phuthaditjhaba,ZA,-28.5242,28.8158,50.22,20,5,4.9,clear sky
163,Jieshi,CN,22.8134,115.8257,81.48,87,99,9.64,overcast clouds
164,Beziers,FR,43.3476,3.219,78.08,46,0,8.05,clear sky
165,Bahia Blanca,AR,-38.7196,-62.2724,52.79,47,100,11.92,overcast clouds
166,Tete,MZ,-16.1564,33.5867,75.29,46,0,5.75,clear sky
167,Sungaipenuh,ID,-2.0833,101.3833,64.22,96,74,3.06,broken clouds
168,Uribia,CO,11.7139,-72.266,93.76,39,82,13.73,broken clouds
169,Muli,MV,2.9167,73.5667,83.01,73,100,12.97,overcast clouds
170,Half Moon Bay,US,37.4636,-122.4286,90.81,68,1,1.99,clear sky
171,Clinton,US,42.587,-82.9199,88.2,75,90,1.01,mist
172,Faya,SA,18.3851,42.4509,73.51,58,60,2.77,broken clouds
173,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.22,18,3,14.58,clear sky
174,Tateyama,JP,34.9833,139.8667,84.22,83,75,8.05,broken clouds
175,Narsaq,GL,60.9167,-46.05,52.02,62,10,11.23,clear sky
176,Saint Peter,BB,13.25,-59.6167,86.56,73,100,18.45,overcast clouds
177,Tiarei,PF,-17.5333,-149.3333,82.42,75,17,10.96,few clouds
178,Bredasdorp,ZA,-34.5322,20.0403,60.12,55,100,18.41,light rain
179,Hami,CN,42.8,93.45,82.67,15,100,8.08,overcast clouds
180,Faanui,PF,-16.4833,-151.75,78.98,75,17,13.33,few clouds
181,Ulladulla,AU,-35.35,150.4667,43.7,67,98,4.18,overcast clouds
182,Mucuri,BR,-18.0864,-39.5508,72.28,72,1,8.52,clear sky
183,Mahebourg,MU,-20.4081,57.7,69.26,100,75,3.44,light rain
184,Geraldton,AU,-28.7667,114.6,64.81,82,75,10.36,broken clouds
185,Namibe,AO,-15.1961,12.1522,64.53,80,51,8.66,broken clouds
186,Varhaug,NO,58.6147,5.6457,60.85,85,76,14.97,broken clouds
187,Clovis,US,36.8252,-119.7029,101.86,32,75,1.99,haze
188,Monrovia,LR,6.3005,-10.7969,80.37,78,62,11.99,broken clouds
189,Bara,NG,10.3744,10.7288,76.82,80,100,10.76,light rain
190,Xining,CN,36.6167,101.7667,55.08,80,77,2.73,broken clouds
191,Prince Rupert,CA,54.3161,-130.3201,59.09,91,90,3.44,overcast clouds
192,Zhicheng,CN,30.2956,111.5047,77.9,92,100,3.83,light rain
193,Sinnamary,GF,5.3833,-52.95,83.23,75,99,12.55,overcast clouds
194,La Ronge,CA,55.1001,-105.2842,66.42,59,75,12.66,broken clouds
195,Tenenkou,ML,14.4572,-4.9169,87.46,49,98,2.35,overcast clouds
196,Ust-Tsilma,RU,65.441,52.1498,44.62,94,68,4.38,broken clouds
197,Margate,GB,51.3813,1.3862,64.26,77,8,4.0,clear sky
198,Alta Floresta,BR,-9.8756,-56.0861,96.62,26,0,3.44,clear sky
199,Portsmouth,GB,50.799,-1.0913,63.37,81,90,7.0,overcast clouds
200,Kaitangata,NZ,-46.2817,169.8464,37.58,85,97,9.08,overcast clouds
201,Charlottesville,US,38.0293,-78.4767,92.08,52,20,4.0,few clouds
202,Komsomolskiy,UZ,40.4272,71.7189,81.32,36,0,4.61,clear sky
203,Svetlogorsk,BY,52.6333,29.7333,66.25,64,15,3.91,few clouds
204,Rio Gallegos,AR,-51.6226,-69.2181,48.25,46,0,28.77,clear sky
205,Plouzane,FR,48.3833,-4.6167,60.89,94,90,12.66,overcast clouds
206,Kavaratti,IN,10.5669,72.642,80.38,81,100,18.72,light rain
207,Provideniya,RU,64.3833,-173.3,46.51,76,90,8.95,overcast clouds
208,Acarau,BR,-2.8856,-40.12,81.9,68,4,22.17,clear sky
209,Miyako,JP,39.6367,141.9525,76.1,98,100,10.0,overcast clouds
210,Sitka,US,57.0531,-135.33,60.69,72,90,4.61,overcast clouds
211,Sao Filipe,CV,14.8961,-24.4956,79.16,83,34,7.63,scattered clouds
212,Leninskoye,KZ,41.7589,69.3864,78.73,18,0,3.6,clear sky
213,Thai Binh,VN,20.45,106.3333,87.8,80,100,5.73,overcast clouds
214,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,12.66,scattered clouds
215,Naze,JP,28.3667,129.4833,77.56,88,9,12.12,clear sky
216,Lyubar,UA,49.9204,27.7592,67.15,65,0,5.44,clear sky
217,Batemans Bay,AU,-35.7167,150.1833,46.2,82,23,4.09,few clouds
218,Babushkin,RU,51.7122,105.8647,54.77,78,0,7.72,clear sky
219,Naron,ES,43.5167,-8.1528,65.25,80,94,3.85,overcast clouds
220,Omsukchan,RU,62.5333,155.8,50.2,72,6,5.14,clear sky
221,Harsin,IR,34.2721,47.5861,81.41,24,4,1.16,clear sky
222,Hasaki,JP,35.7333,140.8333,77.4,88,55,16.15,broken clouds
223,Talnakh,RU,69.4865,88.3972,57.27,61,3,1.88,clear sky
224,Korla,CN,41.7597,86.1469,79.88,33,99,7.96,overcast clouds
225,Souillac,MU,-20.5167,57.5167,69.37,100,75,3.44,moderate rain
226,Arona,ES,28.0996,-16.681,69.82,71,75,4.0,broken clouds
227,Kruisfontein,ZA,-34.0033,24.7314,56.88,87,100,5.37,overcast clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,77,57,15.01,broken clouds
229,Yeppoon,AU,-23.1333,150.7333,55.18,85,25,9.13,scattered clouds
230,Hualmay,PE,-11.0964,-77.6139,66.04,74,31,13.35,scattered clouds
231,Luderitz,NA,-26.6481,15.1594,56.07,85,86,6.33,overcast clouds
232,Upernavik,GL,72.7868,-56.1549,41.99,85,100,5.95,overcast clouds
233,Kashi,CN,39.4547,75.9797,75.0,35,24,4.72,few clouds
234,Atar,MR,20.5169,-13.0499,99.1,26,6,7.99,clear sky
235,Alamogordo,US,32.8995,-105.9603,94.39,31,1,6.91,clear sky
236,Victor Harbor,AU,-35.5667,138.6167,52.47,72,57,8.12,broken clouds
237,Bengkulu,ID,-3.8004,102.2655,75.83,91,30,5.17,scattered clouds
238,Berezovyy,RU,51.6667,135.7,49.33,98,100,3.83,overcast clouds
239,Bukama,CD,-9.2,25.85,75.29,27,4,1.74,clear sky
240,Vestmannaeyjar,IS,63.4427,-20.2734,59.99,63,0,13.8,clear sky
241,Rawson,AR,-43.3002,-65.1023,50.81,38,0,7.29,clear sky
242,Noumea,NC,-22.2763,166.4572,60.78,57,90,11.45,overcast clouds
243,Thompson,CA,55.7435,-97.8558,64.56,94,90,5.75,mist
244,Terrace Bay,CA,48.7834,-87.1,67.62,97,100,9.4,overcast clouds
